Всего структур: 5666

Name                                                    Start        End     Fields
ICommDlgBrowserVtbl                                     39798      39806          7
ICommDlgBrowser                                         39809      39812          2
IEnumFullIDListVtbl                                     39815      39824          8
IEnumFullIDList                                         39827      39830          2
IDelegateFolderVtbl                                     39833      39839          5
IDelegateFolder                                         39842      39845          2
IMalloc                                                 39849      39852          2
IMallocVtbl                                             39857      39868         10
IShellExecuteHookAVtbl                                  39876      39879          2
IShellExecuteHookA                                      39884      39887          2
_SHELLEXECUTEINFOA                                      39901      39924         18
IUserAccountChangeCallbackVtbl                          39928      39934          5
IUserAccountChangeCallback                              39937      39940          2
IOleControlSiteVtbl                                     39946      39958         11
IOleControlSite                                         39961      39964          2
tagPOINTF                                               39967      39971          3
IUserNotificationVtbl                                   39974      39984          9
IUserNotification                                       39987      39990          2
DShellFolderViewEventsVtbl                              39993      40002          8
DShellFolderViewEvents                                  40005      40008          2
IRowsetVtbl                                             40027      40037          9
IRowset                                                 40042      40045          2
IDockingWindowVtbl                                      40049      40059          9
IDockingWindow                                          40062      40065          2
IOleControlVtbl                                         40071      40080          8
IOleControl                                             40083      40086          2
tagCONTROLINFO                                          40089      40095          5
IRowsetLocateVtbl                                       40111      40125         13
IRowsetLocate                                           40130      40133          2
IWICBitmapSourceVtbl                                    40140      40150          9
IWICBitmapSource                                        40153      40156          2
IWICPalette                                             40159      40162          2
WICRect                                                 40165      40171          5
IWICPaletteVtbl                                         40200      40215         14
ICommDlgBrowser2Vtbl                                    40218      40229         10
ICommDlgBrowser2                                        40232      40235          2
IInitializeCommandVtbl                                  40238      40244          5
IInitializeCommand                                      40247      40250          2
IStartMenuPinnedListVtbl                                40253      40259          5
IStartMenuPinnedList                                    40262      40265          2
IShellChangeNotifyVtbl                                  40269      40272          2
IShellChangeNotify                                      40277      40280          2
IPreviewHandlerVtbl                                     40284      40296         11
IPreviewHandler                                         40299      40302          2
IShellIconVtbl                                          40305      40311          5
IShellIcon                                              40314      40317          2
IShellIconOverlayIdentifierVtbl                         40320      40328          7
IShellIconOverlayIdentifier                             40331      40334          2
IHxHelpPaneVtbl                                         40337      40345          7
IHxHelpPane                                             40348      40351          2
Folder2Vtbl                                             40354      40378         23
Folder2                                                 40381      40384          2
IFolderFilterSiteVtbl                                   40387      40393          5
IFolderFilterSite                                       40396      40399          2
IFolderFilterVtbl                                       40402      40409          6
IFolderFilter                                           40412      40415          2
ICommDlgBrowser3Vtbl                                    40418      40432         13
ICommDlgBrowser3                                        40435      40438          2
tagFILTERREGION                                         40447      40452          4
IFilterVtbl                                             40458      40468          9
IFilter                                                 40471      40474          2
tagFULLPROPSPEC                                         40477      40481          3
tagSTAT_CHUNK                                           40508      40518          9
IExecuteCommandVtbl                                     40521      40533         11
IExecuteCommand                                         40536      40539          2
IShellItemResourcesVtbl                                 40542      40557         14
IShellItemResources                                     40560      40563          2
IThumbnailSettingsVtbl                                  40576      40582          5
IThumbnailSettings                                      40585      40588          2
IDocViewSiteVtbl                                        40592      40595          2
IDocViewSite                                            40600      40603          2
ITfInputProcessorProfilesVtbl                           40613      40636         22
ITfInputProcessorProfiles                               40639      40642          2
IEnumTfLanguageProfiles                                 40645      40648          2
HKL__                                                   40651      40654          2
IEnumTfLanguageProfilesVtbl                             40657      40666          8
TF_LANGUAGEPROFILE                                      40669      40676          6
IItemNameLimitsVtbl                                     40679      40686          6
IItemNameLimits                                         40689      40692          2
IOleInPlaceSiteWindowlessVtbl                           40698      40730         31
IOleInPlaceSiteWindowless                               40733      40736          2
HRGN__                                                  40739      40742          2
ICatInformationVtbl                                     40751      40762         10
ICatInformation                                         40765      40768          2
IEnumCATEGORYINFO                                       40771      40774          2
IEnumCATEGORYINFOVtbl                                   40780      40789          8
tagCATEGORYINFO                                         40792      40797          4
IObjectSafetyVtbl                                       40800      40807          6
IObjectSafety                                           40810      40813          2
IAuthenticateVtbl                                       40817      40823          5
IAuthenticate                                           40828      40831          2
ITfInputProcessorProfileMgrVtbl                         40835      40848         12
ITfInputProcessorProfileMgr                             40851      40854          2
TF_INPUTPROCESSORPROFILE                                40857      40868         10
IEnumTfInputProcessorProfiles                           40871      40874          2
IEnumTfInputProcessorProfilesVtbl                       40877      40886          8
IQueryAssociationsVtbl                                  40958      40965          6
IQueryAssociations                                      40970      40973          2
ICreateObjectVtbl                                       40977      40983          5
ICreateObject                                           40986      40989          2
IDBCreateSessionVtbl                                    40993      40999          5
IDBCreateSession                                        41004      41007          2
IShellExtInitVtbl                                       41011      41017          5
IShellExtInit                                           41020      41023          2
IPersistPropertyBagVtbl                                 41026      41035          8
IPersistPropertyBag                                     41038      41041          2
IShellLibraryVtbl                                       41076      41098         21
IShellLibrary                                           41101      41104          2
IShellPropSheetExtVtbl                                  41110      41117          6
IShellPropSheetExt                                      41120      41123          2
IFileSystemImageVtbl                                    41134      41193         58
IFileSystemImage                                        41196      41199          2
IBootOptions                                            41202      41205          2
IFileSystemImageResult                                  41208      41211          2
IFsiFileItem                                            41214      41217          2
IBootOptionsVtbl                                        41239      41257         17
IFileSystemImageResultVtbl                              41260      41274         13
IFsiFileItemVtbl                                        41277      41303         25
IProgressItems                                          41306      41309          2
IProgressItemsVtbl                                      41312      41327         14
IProgressItem                                           41330      41333          2
IEnumProgressItems                                      41336      41339          2
IProgressItemVtbl                                       41342      41355         12
IEnumProgressItemsVtbl                                  41358      41367          8
IObjectWithBackReferencesVtbl                           41370      41376          5
IObjectWithBackReferences                               41379      41382          2
IExplorerBrowserVtbl                                    41410      41430         19
IExplorerBrowser                                        41433      41436          2
IObjectWithProgIDVtbl                                   41439      41446          6
IObjectWithProgID                                       41449      41452          2
ITaskbarList3Vtbl                                       41471      41494         22
ITaskbarList3                                           41497      41500          2
THUMBBUTTON                                             41524      41532          7
IPreviewHandlerFrameVtbl                                41539      41546          6
IPreviewHandlerFrame                                    41549      41552          2
PREVIEWHANDLERFRAMEINFO                                 41555      41559          3
IAccessibleObjectVtbl                                   41562      41568          5
IAccessibleObject                                       41571      41574          2
ITfThreadMgrVtbl                                        41577      41593         15
ITfThreadMgr                                            41596      41599          2
IEnumTfDocumentMgrs                                     41602      41605          2
ITfFunctionProvider                                     41608      41611          2
IEnumTfFunctionProviders                                41614      41617          2
ITfCompartmentMgr                                       41620      41623          2
IEnumTfDocumentMgrsVtbl                                 41626      41635          8
ITfFunctionProviderVtbl                                 41638      41646          7
IEnumTfFunctionProvidersVtbl                            41649      41658          8
ITfCompartmentMgrVtbl                                   41661      41669          7
ITfCompartment                                          41672      41675          2
ITfCompartmentVtbl                                      41678      41685          6
IBindStatusCallbackVtbl                                 41692      41705         12
IBindStatusCallback                                     41710      41713          2
IBinding                                                41718      41721          2
_tagBINDINFO                                            41729      41745         15
IBindingVtbl                                            41750      41761         10
IWICImagingFactoryVtbl                                  41797      41827         29
IWICImagingFactory                                      41830      41833          2
IWICBitmapDecoder                                       41836      41839          2
IWICComponentInfo                                       41842      41845          2
IWICBitmapEncoder                                       41848      41851          2
IWICFormatConverter                                     41854      41857          2
IWICBitmapScaler                                        41860      41863          2
IWICBitmapClipper                                       41866      41869          2
IWICBitmapFlipRotator                                   41872      41875          2
IWICStream                                              41878      41881          2
IWICColorContext                                        41884      41887          2
IWICColorTransform                                      41890      41893          2
IWICBitmap                                              41896      41899          2
HPALETTE__                                              41902      41905          2
IWICFastMetadataEncoder                                 41908      41911          2
IWICBitmapFrameDecode                                   41914      41917          2
IWICMetadataQueryWriter                                 41920      41923          2
IWICMetadataQueryReader                                 41926      41929          2
IWICBitmapDecoderVtbl                                   41932      41948         15
IWICComponentInfoVtbl                                   41964      41977         12
IWICBitmapEncoderVtbl                                   41989      42004         14
IWICFormatConverterVtbl                                 42023      42035         11
IWICBitmapScalerVtbl                                    42049      42060         10
IWICBitmapClipperVtbl                                   42063      42074         10
IWICBitmapFlipRotatorVtbl                               42089      42100         10
IWICStreamVtbl                                          42106      42126         19
IWICColorContextVtbl                                    42137      42148         10
IWICColorTransformVtbl                                  42151      42162         10
IWICBitmapVtbl                                          42165      42178         12
IWICFastMetadataEncoderVtbl                             42181      42188          6
IWICBitmapFrameDecodeVtbl                               42191      42204         12
IWICMetadataQueryWriterVtbl                             42207      42218         10
IWICMetadataQueryReaderVtbl                             42221      42230          8
IWICBitmapDecoderInfo                                   42233      42236          2
IWICBitmapEncoderInfo                                   42239      42242          2
IWICBitmapFrameEncode                                   42245      42248          2
IPropertyBag2                                           42251      42254          2
IWICBitmapLock                                          42257      42260          2
IWICBitmapDecoderInfoVtbl                               42263      42291         27
IWICBitmapEncoderInfoVtbl                               42294      42320         25
IWICBitmapFrameEncodeVtbl                               42323      42339         15
IPropertyBag2Vtbl                                       42345      42355          9
IWICBitmapLockVtbl                                      42358      42367          8
WICBitmapPattern                                        42370      42377          6
tagPROPBAG2                                             42380      42388          7
IFileOperationVtbl                                      42391      42416         24
IFileOperation                                          42419      42422          2
IHTMLElement2Vtbl                                       42425      42532        106
IHTMLElement2                                           42535      42538          2
IHTMLCurrentStyle                                       42541      42544          2
IHTMLRectCollection                                     42547      42550          2
IHTMLRect                                               42553      42556          2
IHTMLCurrentStyleVtbl                                   42559      42659         99
IHTMLRectCollectionVtbl                                 42662      42674         11
IHTMLRectVtbl                                           42677      42694         16
IShellLinkDualVtbl                                      42697      42722         24
IShellLinkDual                                          42725      42728          2
IHlinkFrameVtbl                                         42734      42744          9
IHlinkFrame                                             42747      42750          2
IHlinkBrowseContext                                     42753      42756          2
IHlink                                                  42759      42762          2
IHlinkBrowseContextVtbl                                 42768      42787         18
IHlinkVtbl                                              42790      42809         18
_tagHLTBINFO                                            42812      42816          3
_tagHLBWINFO                                            42822      42829          6
IEnumHLITEM                                             42832      42835          2
IHlinkSite                                              42838      42841          2
IEnumHLITEMVtbl                                         42847      42856          8
IHlinkSiteVtbl                                          42859      42868          8
tagHLITEM                                               42871      42875          3
IOleInPlaceObjectWindowlessVtbl                         42878      42891         12
IOleInPlaceObjectWindowless                             42894      42897          2
IShellIconOverlayManagerVtbl                            42901      42908          6
IShellIconOverlayManager                                42913      42916          2
Folder3Vtbl                                             42920      42946         25
Folder3                                                 42949      42952          2
IPropertySystemVtbl                                     42967      42981         13
IPropertySystem                                         42984      42987          2
ISpecifyPropertyPagesVtbl                               42993      42999          5
ISpecifyPropertyPages                                   43002      43005          2
tagCAUUID                                               43008      43012          3
IInputObjectVtbl                                        43015      43023          7
IInputObject                                            43026      43029          2
HTMLDocumentEventsVtbl                                  43032      43041          8
HTMLDocumentEvents                                      43044      43047          2
IOpenControlPanelVtbl                                   43059      43067          7
IOpenControlPanel                                       43070      43073          2
IThumbnailHandlerFactoryVtbl                            43076      43082          5
IThumbnailHandlerFactory                                43085      43088          2
IURLSearchHook2Vtbl                                     43092      43095          2
IURLSearchHook2                                         43100      43103          2
ISearchContext                                          43108      43111          2
ISearchContextVtbl                                      43116      43121          4
IXMLDOMElementVtbl                                      43147      43201         53
IXMLDOMElement                                          43206      43209          2
IXMLDOMNode                                             43214      43217          2
IXMLDOMNodeList                                         43222      43225          2
IXMLDOMNamedNodeMap                                     43230      43233          2
IXMLDOMDocument                                         43238      43241          2
IXMLDOMAttribute                                        43246      43249          2
IXMLDOMNodeVtbl                                         43254      43299         44
IXMLDOMNodeListVtbl                                     43304      43318         13
IXMLDOMNamedNodeMapVtbl                                 43323      43342         18
IXMLDOMDocumentVtbl                                     43347      43425         77
IXMLDOMAttributeVtbl                                    43430      43478         47
IXMLDOMDocumentType                                     43483      43486          2
IXMLDOMImplementation                                   43491      43494          2
IXMLDOMDocumentFragment                                 43499      43502          2
IXMLDOMText                                             43507      43510          2
IXMLDOMComment                                          43515      43518          2
IXMLDOMCDATASection                                     43523      43526          2
IXMLDOMProcessingInstruction                            43531      43534          2
IXMLDOMEntityReference                                  43539      43542          2
IXMLDOMParseError                                       43547      43550          2
IXMLDOMDocumentTypeVtbl                                 43555      43603         47
IXMLDOMImplementationVtbl                               43608      43618          9
IXMLDOMDocumentFragmentVtbl                             43623      43668         44
IXMLDOMTextVtbl                                         43673      43727         53
IXMLDOMCommentVtbl                                      43732      43785         52
IXMLDOMCDATASectionVtbl                                 43790      43844         53
IXMLDOMProcessingInstructionVtbl                        43849      43897         47
IXMLDOMEntityReferenceVtbl                              43902      43947         44
IXMLDOMParseErrorVtbl                                   43952      43968         15
ISearchManagerVtbl                                      43983      44001         17
ISearchManager                                          44004      44007          2
ISearchCatalogManager                                   44010      44013          2
ISearchCatalogManagerVtbl                               44050      44081         30
ISearchPersistentItemsChangedSink                       44084      44087          2
ISearchViewChangedSink                                  44090      44093          2
ISearchNotifyInlineSite                                 44096      44099          2
ISearchQueryHelper                                      44102      44105          2
ISearchCrawlScopeManager                                44108      44111          2
ISearchPersistentItemsChangedSinkVtbl                   44117      44125          7
ISearchViewChangedSinkVtbl                              44134      44140          5
ISearchNotifyInlineSiteVtbl                             44157      44164          6
ISearchQueryHelperVtbl                                  44192      44218         25
ISearchCrawlScopeManagerVtbl                            44233      44254         20
_SEARCH_ITEM_PERSISTENT_CHANGE                          44282      44288          5
_SEARCH_ITEM_CHANGE                                     44291      44298          6
_SEARCH_ITEM_INDEXING_STATUS                            44301      44305          3
_SEARCH_COLUMN_PROPERTIES                               44308      44312          3
ISearchRoot                                             44315      44318          2
IEnumSearchRoots                                        44321      44324          2
IEnumSearchScopeRules                                   44327      44330          2
ISearchRootVtbl                                         44344      44371         26
IEnumSearchRootsVtbl                                    44374      44383          8
IEnumSearchScopeRulesVtbl                               44386      44395          8
ISearchScopeRule                                        44398      44401          2
ISearchScopeRuleVtbl                                    44404      44413          8
IFolderBandPrivVtbl                                     44416      44425          8
IFolderBandPriv                                         44428      44431          2
IHWEventHandlerVtbl                                     44434      44442          7
IHWEventHandler                                         44445      44448          2
ISyncMgrConflictItemsVtbl                               44451      44458          6
ISyncMgrConflictItems                                   44461      44464          2
CONFIRM_CONFLICT_ITEM                                   44474      44482          7
ITaskServiceVtbl                                        44485      44503         17
ITaskService                                            44506      44509          2
ITaskFolder                                             44512      44515          2
IRunningTaskCollection                                  44518      44521          2
ITaskDefinition                                         44524      44527          2
ITaskFolderVtbl                                         44545      44567         21
IRunningTaskCollectionVtbl                              44570      44582         11
ITaskDefinitionVtbl                                     44585      44608         22
ITaskFolderCollection                                   44611      44614          2
IRegisteredTask                                         44617      44620          2
IRegisteredTaskCollection                               44623      44626          2
IRunningTask                                            44629      44632          2
IRegistrationInfo                                       44635      44638          2
ITriggerCollection                                      44641      44644          2
ITaskSettings                                           44647      44650          2
IPrincipal                                              44653      44656          2
IActionCollection                                       44659      44662          2
ITaskFolderCollectionVtbl                               44665      44677         11
IRegisteredTaskVtbl                                     44696      44723         26
IRegisteredTaskCollectionVtbl                           44726      44738         11
IRunningTaskVtbl                                        44741      44758         16
IRegistrationInfoVtbl                                   44761      44788         26
ITriggerCollectionVtbl                                  44811      44826         14
ITaskSettingsVtbl                                       44856      44905         48
IPrincipalVtbl                                          44918      44939         20
IActionCollectionVtbl                                   44954      44973         18
ITrigger                                                44976      44979          2
IIdleSettings                                           44982      44985          2
INetworkSettings                                        44988      44991          2
IAction                                                 44994      44997          2
ITriggerVtbl                                            45000      45022         21
IIdleSettingsVtbl                                       45025      45042         16
INetworkSettingsVtbl                                    45045      45058         12
IActionVtbl                                             45061      45073         11
IRepetitionPattern                                      45076      45079          2
IRepetitionPatternVtbl                                  45082      45097         14
IPropertyStoreCapabilitiesVtbl                          45100      45106          5
IPropertyStoreCapabilities                              45109      45112          2
IViewStateIdentityItemVtbl                              45115      45122          6
IViewStateIdentityItem                                  45125      45128          2
IQueryCancelAutoPlayVtbl                                45131      45137          5
IQueryCancelAutoPlay                                    45140      45143          2
IIdentityStoreVtbl                                      45155      45166         10
IIdentityStore                                          45169      45172          2
IHWEventHandler2Vtbl                                    45175      45184          8
IHWEventHandler2                                        45187      45190          2
IRelatedItemVtbl                                        45193      45200          6
IRelatedItem                                            45203      45206          2
DWebBrowserEventsVtbl                                   45209      45218          8
DWebBrowserEvents                                       45221      45224          2
IDiscFormat2DataEventArgsVtbl                           45243      45263         19
IDiscFormat2DataEventArgs                               45266      45269          2
IAutoCompleteDropDownVtbl                               45272      45279          6
IAutoCompleteDropDown                                   45282      45285          2
IOleInPlaceSiteExVtbl                                   45288      45308         19
IOleInPlaceSiteEx                                       45311      45314          2
IPersistFolder3Vtbl                                     45320      45330          9
IPersistFolder3                                         45333      45336          2
_PERSIST_FOLDER_TARGET_INFO                             45340      45347          6
ISearchFolderItemFactoryVtbl                            45351      45368         16
ISearchFolderItemFactory                                45371      45374          2
IACList2Vtbl                                            45378      45382          3
IACList2                                                45387      45390          2
IPropertyStoreCacheVtbl                                 45403      45417         13
IPropertyStoreCache                                     45420      45423          2
IPropertyDescriptionSearchInfoVtbl                      45448      45478         29
IPropertyDescriptionSearchInfo                          45481      45484          2
ITextDocumentVtbl                                       45487      45515         27
ITextDocument                                           45518      45521          2
ITextSelection                                          45524      45527          2
ITextStoryRanges                                        45530      45533          2
ITextRange                                              45536      45539          2
ITextSelectionVtbl                                      45542      45612         69
ITextStoryRangesVtbl                                    45615      45627         11
ITextRangeVtbl                                          45630      45690         59
ITextFont                                               45693      45696          2
ITextPara                                               45699      45702          2
ITextFontVtbl                                           45705      45769         63
ITextParaVtbl                                           45772      45829         56
IDBCreateCommandVtbl                                    45833      45839          5
IDBCreateCommand                                        45844      45847          2
IObjectWithSelectionVtbl                                45851      45858          6
IObjectWithSelection                                    45861      45864          2
INetworkListManagerVtbl                                 45889      45907         17
INetworkListManager                                     45910      45913          2
IEnumNetworks                                           45916      45919          2
INetwork                                                45922      45925          2
IEnumNetworkConnections                                 45928      45931          2
INetworkConnection                                      45934      45937          2
NLM_SIMULATED_PROFILE_INFO                              45953      45959          5
IEnumNetworksVtbl                                       45962      45976         13
INetworkVtbl                                            45995      46017         21
IEnumNetworkConnectionsVtbl                             46020      46034         13
INetworkConnectionVtbl                                  46037      46053         15
IPersistIDListVtbl                                      46056      46064          7
IPersistIDList                                          46067      46070          2
_IMAGE_LOAD_CONFIG_CODE_INTEGRITY                       58636      58642          5
_IMAGE_LOAD_CONFIG_DIRECTORY32                          58645      58691         45
_onexit_table_t                                         58694      58699          4
_IMAGE_SECTION_HEADER                                   58719      58731         11
_RTL_CONDITION_VARIABLE                                 58734      58737          2
__type_info_node                                        58847      58850          2
PMD                                                     58853      58858          4
TypeDescriptor                                          58861      58866          4
_s_CatchableType                                        58869      58876          6
_s_CatchableTypeArray                                   58879      58883          3
_STARTUPINFOW                                           58886      58906         19
EHExceptionRecord                                       58926      58934          7
_IMAGE_TLS_DIRECTORY32                                  58952      58960          7
__crt_locale_pointers                                   58963      58967          3
tagCFEntry                                              58979      58984          4
_CRYPTOAPI_BLOB                                         59021      59025          3
_CRYPT_ALGORITHM_IDENTIFIER                             59028      59032          3
_CRYPT_BIT_BLOB                                         59035      59040          4
_CERT_PUBLIC_KEY_INFO                                   59043      59047          3
_PROC_THREAD_ATTRIBUTE                                  59095      59100          4
_PROC_THREAD_ATTRIBUTE_LIST                             59103      59111          7
_STARTUPINFOEXW                                         59114      59118          3
_PROCESS_INFORMATION                                    59151      59157          5
SHashChain                                              59203      59207          3
SExtHashNode                                            59332      59336          3
_EVENT_FILTER_DESCRIPTOR                                59339      59344          4
_tlgProvider_t                                          59347      59356          8
tagPAINTSTRUCT                                          59359      59367          7
_TOKEN_LINKED_TOKEN                                     59375      59378          2
tagMULTI_QI                                             59381      59386          4
tagPageEntry                                            59405      59409          3
_CERT_EXTENSION                                         59422      59427          4
_CERT_INFO                                              59430      59444         13
SPointerHashNode                                        59479      59483          3
CInternalPageAllocator                                  59486      59497         10
_WNF_TYPE_ID                                            59509      59512          2
STblHdr                                                 60254      60260          5
HMAPKEY__                                               60337      60340          2
tagContextStackNode                                     60421      60429          7
tagSPSChain                                             60467      60471          3
tagSPSCache                                             60474      60478          3
tagInterfaceData                                        60895      60899          3
tagContextProperty                                      61051      61056          4
_tagSCtxListIndex                                       61059      61064          4
WireContainerThatPart1                                  61269      61290         20
WireContainerExtentArray                                61293      61300          6
WireContainerThat                                       61303      61307          3
tagRPCOLEMESSAGE                                        61379      61388          8
tagPolicyEntry                                          61459      61466          6
tagCOMVERSION                                           61477      61481          3
__MIDL_ILocalObjectExporter_0007                        61500      61518         17
CONTAINER_EXTENT_ARRAY                                  62035      62040          4
tagDUALSTRINGARRAY                                      62043      62048          4
_SCHANNEL_CRED                                          62095      62111         15
SStringHashNode                                         62151      62156          4
CallEntryBuffer                                         62397      62400          2
tagOutgoingCallData                                     62403      62407          3
tagIncomingCallData                                     62410      62413          2
tagOutgoingActivationData                               62416      62419          2
APARTMENT_SHUTDOWN_REGISTRATION_COOKIE__                62514      62517          2
_CERT_CONTEXT                                           62540      62547          6
tagIPIDEntry                                            62557      62574         16
SUUIDHashNode                                           62621      62625          3
tagSWindowData                                          62810      62815          4
tagInitializeSpyNode                                    63556      63563          6
WireContainerThisPart1                                  63635      63659         23
IRCEntry                                                63669      63679          9
WireThisPart1                                           63821      63828          6
WireExtentArray                                         63831      63838          6
__MIDL_XmitDefs_0001                                    63848      63854          5
WireLocalThisPart1                                      63857      63866          8
WireArrayOfTouchedAstas                                 63869      63876          6
WireThatPart1                                           63886      63890          3
WireLocalThatPart1                                      63900      63907          6
WireWinrtAsyncCallResponseBlockPart1                    63910      63918          7
_OVERLAPPED                                             63935      63942          6
SActivatableClassIdHashNode                             64037      64041          3
SMultiGUIDKey                                           64044      64048          3
_RPC_BINDING_VECTOR                                     64107      64111          3
stat                                                    65299      65312         12
SPatternEntry                                           65368      65375          6
_Mbstatet                                               65395      65400          4
SMIPIDHashNode                                          65425      65429          3
_ldiv_t                                                 65437      65441          3
SDWORDHashNode                                          65480      65484          3
HSTRING_BUFFER__                                        65492      65495          2
__s_GUID                                                65504      65510          5
_TraceLoggingMetadata_t                                 65530      65537          6
_lldiv_t                                                65557      65561          3
SMultiGUIDHashNode                                      65657      65661          3
_stat32                                                 65769      65782         12
tagSTGOPTIONS                                           66711      66717          5
_PS_PKG_CLAIM                                           66765      66769          3
EventRegistrationToken                                  66809      66812          2
_TRACE_GUID_REGISTRATION                                77986      77990          3
_TOKEN_SECURITY_ATTRIBUTE_FQBN_VALUE                    77998      78002          3
_TOKEN_SECURITY_ATTRIBUTE_OCTET_STRING_VALUE            78005      78009          3
_TOKEN_SECURITY_ATTRIBUTE_V1                            78022      78030          7
_TOKEN_APPCONTAINER_INFORMATION                         78038      78041          2
_SID_AND_ATTRIBUTES                                     78068      78072          3
_TOKEN_MANDATORY_LABEL                                  78075      78078          2
_TOKEN_DEFAULT_DACL                                     78086      78089          2
_TOKEN_PRIMARY_GROUP                                    78130      78133          2
_TOKEN_GROUPS_AND_PRIVILEGES                            78153      78165         11
_TOKEN_SECURITY_ATTRIBUTES_INFORMATION                  78208      78214          5
_ACE_HEADER                                             78234      78239          4
_ACCESS_ALLOWED_ACE                                     78242      78247          4
_TOKEN_MANDATORY_POLICY                                 78345      78348          2
_TOKEN_GROUPS                                           78357      78361          3
_COAUTHIDENTITY                                         78725      78734          8
_COAUTHINFO                                             78737      78746          8
_COSERVERINFO                                           78749      78755          5
_SCMREGKEY                                              78814      78819          4
_MkInterfaceListEntry                                   78829      78833          3
_MkInterfaceList                                        78836      78840          3
ClassMonikerData                                        79132      79136          3
_MonikerWriteStruct                                     79419      79425          5
_MonikerReadStruct                                      79428      79433          4
_CMSG_KEY_AGREE_KEY_ENCRYPT_INFO                        79501      79505          3
_SYSTEM_KERNEL_DEBUGGER_INFORMATION                     79515      79519          3
_ACTIVATION_CONTEXT_QUERY_INDEX                         79522      79526          3
_ASSEMBLY_STORAGE_MAP_RESOLUTION_CALLBACK_DATA_RESOLUTION_SUCCESSFUL      79529      79533          3
tagMENUITEMINFOW                                        79536      79550         13
tagALTTABINFO                                           79553      79564         10
_SYSDBG_LIVEDUMP_CONTROL                                79598      79610         11
_SERVICE_STATUS                                         79613      79622          8
_ENUM_SERVICE_STATUSW                                   79625      79630          4
_RTL_IMAGE_MITIGATION_PAYLOAD_RESTRICTION_POLICY        79666      79675          8
_RTL_BUFFER                                             79678      79684          5
